標準索引,standard_純單方藥組成,匹配LLM索引,LLMmodel_純單方藥組成,標準藥材數,LLM萃取藥材數,交集數,Jaccard_Similarity,Precision,Recall,F1_Score
0,"[""白朮"",""川牛膝"",""杜仲"",""附子"",""虎脛骨"",""黃耆"",""沒藥"",""乳香"",""甘草"",""人參"",""白薑"",""桂心"",""當歸"",""川芎""]",68,"['白術', '川牛膝', '杜仲', '附子', '虎脛骨', '黃耆', '沒藥', '乳香', '甘草', '人參', '白薑', '桂心', '當歸', '川芎']",14,14,13,0.866666666666667,0.928571428571429,0.928571428571429,0.928571428571429
1,"[""升麻"",""前胡"",""𤣥參"",""地骨皮"",""羚羊角"",""葛根"",""酸棗仁""]",69,"['升麻', '前胡', '茯神', '蒼術', '橘皮', '烏藥', '黃耆', '續斷', '白術', '海桐皮', '白芍藥', '當歸', '甘草']",7,13,2,0.111111111111111,0.153846153846154,0.285714285714286,0.2
2,"[""獨活"",""石南"",""防風"",""附子"",""烏頭"",""天雄茵芋""]",70,"['獨活', '石南', '防風', '附子', '烏頭', '天雄茵芋']",6,6,6,1,1,1,1
3,"[""黃耆"",""人參"",""生甘草根"",""炙甘草"",""五味子"",""白芍藥"",""升麻"",""柴胡根""]",71,"['黃耆', '人參', '生甘草根', '炙甘草', '五味子', '白芍藥', '升麻', '柴胡根']",8,8,8,1,1,1,1
4,"[""附子"",""白朮"",""甘草"",""當歸"",""防風"",""桂枝"",""薏苡仁"",""乳香"",""沒藥"",""茯苓""]",72,"['附子', '白術', '甘草', '當歸', '防風', '桂枝', '薏苡仁', '乳香', '沒藥', '茯苓']",10,10,9,0.818181818181818,0.9,0.9,0.9
5,"[""茴香"",""烏藥"",""威靈仙"",""萆⿱⺾觧"",""陳皮"",""川練子肉"",""黑牽牛"",""草烏頭"",""黑豆"",""五靈脂"",""防風"",""附子"",""乳香"",""木香""]",73,"['獨活', '石南', '防風', '附子', '烏頭', '天雄茵芋']",14,6,2,0.111111111111111,0.333333333333333,0.142857142857143,0.2
6,"[""川羌活"",""甘草"",""當歸"",""姜黃"",""白朮"",""赤芍藥"",""海桐皮""]",74,"['川羌活', '甘草', '當歸', '薑黃', '白術', '赤芍藥', '海桐皮']",7,7,5,0.555555555555556,0.714285714285714,0.714285714285714,0.714285714285714
7,"[""防己"",""桑根白皮"",""桂"",""麻黃"",""白茯苓""]",75,"['防己', '桑根白皮', '桂', '麻黃', '白茯苓']",5,5,5,1,1,1,1
8,"[""白花蛇"",""磁石"",""白附子"",""天麻"",""狗脊"",""萆⿱⺾觧"",""側子"",""白薑蠶"",""細辛防風"",""芎藭"",""白芷"",""白⿱⺾觧皮"",""羌活"",""蔓荊子""]",79,"['萆', '薏苡仁', '天雄', '牛膝', '當歸', '莽草', '天麻', '天南星', '白附子', '芎藭', '川烏頭', '海桐皮', '羌活', '躑躅花', '乾蠍', '蟬殻']",14,16,4,0.153846153846154,0.25,0.285714285714286,0.266666666666667
9,"[""白朮"",""附子"",""甘草"",""防風"",""桂心"",""茯苓""]",77,"['白術', '附子', '甘草', '防風', '桂心', '茯苓']",6,6,5,0.714285714285714,0.833333333333333,0.833333333333333,0.833333333333333
